Player,Tm,FantPos,PPR,-9999
Hunter Luepke,DAL,RB,0.75,LuepHu00
Sterling Shepard,NYG,WR,1.35,ShepSt00
Brenton Strange,JAX,TE,1.04,StraBr00
Israel Abanikanda,NYJ,RB,2.72,AbanIs00
Nick Bawden,NYJ,FB,0.72,BawdNi00
Richie James,KAN,WR,2.16,JameRi00
Marcedes Lewis,CHI,TE,0.76,LewiMa00
Quintin Morris,BUF,TE,0.71,MorrQu00
Geoff Swaim,ARI,TE,1.39,SwaiGe00
Brycen Hopkins,LAR,TE,0.85,HopkBr01
Tim Jones,JAX,WR,1.14,JoneTi00
Dare Ogunbowale,HOU,RB,0.86,OgunDa00
Ben Sims,GNB,TE,0.71,SimsBe00
Samori Toure,GNB,WR,1.44,TourSa00
Deuce Vaughn,DAL,RB,2.14,VaugDe00
Trayveon Williams,CIN,RB,0.88,WillTr06
Blake Bell,KAN,TE,0.68,BellBl00
Gary Brightwell,NYG,RB,1.66,BrigGa00
Chris Conley,SFO,WR,1.24,ConlCh00
Josiah Deguara,GNB,TE,0.97,DeguJo00
Simi Fehoko,LAC,WR,1.32,FehoSi00
Eric Gray,NYG,RB,1.00,GrayEr01
Tyler Johnson,LAR,WR,8.80,JohnTy00
Velus Jones Jr.,CHI,WR,0.79,JoneVe00
Clayton Tune,ARI,QB,1.07,TuneCl00
Tylan Wallace,BAL,WR,0.74,WallTy00
Jalen Brooks,DAL,WR,1.77,BrooJa03
DeAndre Carter,LVR,WR,0.57,CartDe02
Payne Durham,TAM,TE,0.83,DurhPa00
Blaine Gabbert,KAN,QB,2.95,GabbBl00
Rakim Jarrett,TAM,WR,1.00,JarrRa00
Ko Kieft,TAM,TE,0.45,KiefKo00
Isaiah McKenzie,IND,WR,1.28,McKeIs00
Equanimeous St. Brown,CHI,WR,1.60,St.BEq00
Ian Thomas,CAR,TE,0.88,ThomIa00
Darnell Washington,PIT,TE,0.77,WashDa03
Mitchell Wilcox,CIN,TE,0.86,WilcMi01
Damien Williams,ARI,RB,2.50,WillDa05
Brian Hoyer,LVR,QB,1.63,HoyeBr00
Ty Montgomery,NWE,WR,0.76,MontTy01
Justyn Ross,KAN,WR,1.13,RossJu00
Brett Rypien,LAR,QB,2.40,RypiBr00
Mike Strachan,CAR,WR,1.38,StraMi03
Michael Burton,DEN,FB,0.39,BurtMi00
Grant Calcaterra,PHI,TE,0.53,CalcGr00
Elijah Cooks,JAX,WR,0.76,CookEl00
Britain Covey,PHI,WR,0.51,CoveBr00
Leonard Fournette,BUF,RB,2.00,FourLe00
Peyton Hendershot,DAL,TE,0.97,HendPe01
Rashaad Penny,PHI,RB,1.60,PennRa00
Jack Stoll,PHI,TE,0.52,StolJa00
Ke'Shawn Vaughn,TAM,RB,1.07,VaugKe00
Khari Blasingame,CHI,FB,0.36,BlasKh00
Keelan Doss,LAC,WR,1.86,DossKe00
Greg Dulcich,DEN,TE,2.75,DulcGr00
Devin Duvernay,BAL,WR,0.56,DuveDe00
Derrick Gore,WAS,RB,0.43,GoreDe00
C.J. Ham*,MIN,FB,0.60,HamxC.00
Julian Hill,MIA,TE,0.59,HillJu02
Trishton Jackson,MIN,WR,0.70,JackTr02
James Mitchell,DET,TE,0.32,MitcJa00
Jalen Nailor,MIN,WR,0.98,NailJa00
Teagan Quitoriano,HOU,TE,0.76,QuitTe00
Cooper Rush,DAL,QB,0.47,RushCo00
Steven Sims,HOU,WR,1.87,SimsSt00
Keith Smith,ATL,FB,0.48,SmitKe03
Sean Tucker,TAM,RB,0.47,TuckSe00
Malik Willis,TEN,QB,1.03,WillMa12
Charlie Woerner,SFO,TE,0.36,WoerCh00
Kenny Yeboah,NYJ,TE,0.96,YeboKe00
Nate Adkins,DEN,TE,0.62,AdkiNa00
Kayshon Boutte,NWE,WR,0.78,BoutKa00
Miles Boykin,PIT,WR,0.28,BoykMi00
DeeJay Dallas,SEA,RB,0.48,DallDe00
Tyrion Davis-Price,SFO,RB,2.10,DaviTy03
Elijah Dotson,LAC,RB,0.97,DotsEl00
Zach Evans,LAR,RB,0.19,EvanZa00
Erik Ezukanma,MIA,WR,1.10,EzukEr00
Jake Funk,IND,RB,0.80,FunkJa00
Jaren Hall,MIN,QB,0.70,HallJa00
Marvin Jones,DET,WR,1.08,JoneMa02
Zonovan Knight,DET,RB,1.55,KnigZo00
Chris Manhertz,DEN,TE,0.23,ManhCh00
Nick Muse,MIN,TE,1.60,MuseNi00
Gunner Olszewski,2TM,WR,0.25,OlszGu00
Zach Pascal,ARI,WR,0.42,PascZa00
Laquon Treadwell,BAL,WR,0.52,TreaLa00
Trevon Wesco,TEN,TE,0.21,WescTr00
Mike White,MIA,QB,0.35,WhitMi01
Alex Armah,WAS,RB,0.54,ArmaAl00
Sean Clifford,GNB,QB,0.65,ClifSe00
Jashaun Corbin,NYG,RB,0.72,CorbJa01
Kenyan Drake,2TM,RB,1.03,DrakKe00
Ross Dwelley,SFO,TE,0.18,DwelRo00
D'Wayne Eskridge,SEA,WR,0.13,EskrDW00
Chris Evans,CIN,RB,0.26,EvanCh02
Tucker Fisk,ATL,TE,0.32,FiskTu00
John FitzPatrick,ATL,TE,0.24,FitzJo00
Cole Fotheringham,LVR,TE,0.80,FothCo00
Evan Hull,IND,RB,1.70,HullEv00
Collin Johnson,CHI,WR,0.70,JohnCo01
Jakob Johnson,LVR,FB,0.17,JohnJa12
Mason Kinsey,TEN,WR,0.27,KinsMa00
A.J. McCarron,CIN,QB,0.40,McCaA.00
Anthony McFarland Jr.,PIT,RB,1.03,McFaAn00
Kene Nwangwu,MIN,RB,0.14,NwanKe00
Devine Ozigbo,DET,RB,0.77,OzigDe01
Kevin Rader,TEN,TE,0.11,RadeKe00
Eric Saubert,2TM,TE,0.42,SaubEr00
Willie Snead,SFO,WR,0.85,SneaWi00
Malik Taylor,NYJ,WR,1.10,TaylMa01
Cody Thompson,SEA,WR,0.29,ThomCo04
Austin Trammell,LAR,WR,0.31,TramAu00
